Name	Description	Image File
walking	all parts of the person in the white shirt, but not their backpack.	Walking/img/0001.jpg
biker	the head and helmet of the bicyclist.	Biker/img/0001.jpg
skiing	all parts of the skier.	Skiing/img/0001.jpg
tiger1	the head of the tiger toy.	Tiger1/img/0006.jpg
faceocc1	the head and neck (above the shoulders) of the person.	FaceOcc1/img/0001.jpg
blurCar3	the white car following the black van.	BlurCar3/img/0003.jpg
football1	the helmet of number 59 on the blue team.	Football1/img/0001.jpg
board	the circuit board connected to 3 wires.	Board/img/00001.jpg
soccer	the head of the person holding the trophy.	Soccer/img/0001.jpg
crowds	all parts of the person in the far right of the image	Crowds/img/0001.jpg
blurCar4	the black pickup truck with its brake lights off.	BlurCar4/img/0018.jpg
woman	all parts of the person, excluding their front leg and foot.	Woman/img/0001.jpg
blurCar1	the white sports utility vehicle (SUV).	BlurCar1/img/0247.jpg
skating2_1	all parts of the female figure skater.	Skating2/img/0001.jpg
skating2_2	all parts of the male figure skater, except the hidden arm.	Skating2/img/0001.jpg
blurCar2	the white car.	BlurCar2/img/0001.jpg
david3	all parts of the person, except the front foot.	David3/img/0001.jpg
dancer2	all parts of the dancer, excluding their hands and feet.	Dancer2/img/0001.jpg
vase	the box which holds the pencils, but not the pencils themselves.	Vase/img/0001.jpg
bird2	the parts of the large bird that are covered in feathers.	Bird2/img/0001.jpg
bird1	the body (not the wings or legs) of the rightmost bird.	Bird1/img/0001.jpg
clifBar	the Clif bar.	ClifBar/img/0001.jpg
freeman3	the head of the person standing up.	Freeman3/img/0001.jpg
freeman1	the head of the person.	Freeman1/img/0001.jpg
skating1	all parts of the figure skater on the left, except their hands.	Skating1/img/0001.jpg
lemming	the animal toy hanging from the string.	Lemming/img/0001.jpg
subway	all parts of the person dressed in all black, except their back leg.	Subway/img/0001.jpg
crossing	all parts of the person in the black shirt.	Crossing/img/0001.jpg
shaking	the head of the guitarist closest to the pianist.	Shaking/img/0001.jpg
bolt2	all parts of the sprinter in lane 4.	Bolt2/img/0001.jpg
doll	all parts of the doll except its hands.	Doll/img/0001.jpg
car2	the white car.	Car2/img/0001.jpg
fish	the body and head of the fish statue.	Fish/img/0001.jpg
car1	the light-colored car on the left.	Car1/img/0001.jpg
car4	the minivan.	Car4/img/0001.jpg
jump	all parts of the pole vaulter.	Jump/img/0001.jpg
car24	the silver car.	Car24/img/0001.jpg
diving	all parts of the diver, excluding their arms.	Diving/img/0001.jpg
girl	the person's head.	Girl/img/0001.jpg
panda	all parts of the panda.	Panda/img/0001.jpg
fleetface	the person's head.	FleetFace/img/0001.jpg
matrix	the head of the person in the trenchcoat.	Matrix/img/0001.jpg
suv	the body of the white suv.	Suv/img/0001.jpg
faceocc2	the person's face.	FaceOcc2/img/0001.jpg
blurOwl	the character on the poster.	BlurOwl/img/0001.jpg
human9	all parts of the person.	Human9/img/0001.jpg
human8	all parts of the person.	Human8/img/0001.jpg
human7	all parts of the person with the bag.	Human7/img/0001.jpg
human6	all parts of the person closest to the crosswalk.	Human6/img/0001.jpg
human5	all parts of the person.	Human5/img/0001.jpg
human3	all parts of the person in the street.	Human3/img/0001.jpg
human2	all parts of the person.	Human2/img/0001.jpg
surfer	the head of the surfer.	Surfer/img/0001.jpg
basketball	the athlete wearing green surrounded by athletes wearing white, from the top of their head to their knees, excluding their arms.	Basketball/img/0001.jpg
bolt	all parts of the sprinter in lane 4, except their arms.	Bolt/img/0001.jpg
kiteSurf	the head of the kite surfer.	KiteSurf/img/0001.jpg
box	the box labeled "PENTAX"	Box/img/0001.jpg
boy	the person's head.	Boy/img/0001.jpg
sylvester	the toy cat.	Sylvester/img/0001.jpg
david	the person's face.	David/img/0300.jpg
jogging_1	all parts of the person in the sleeveless shirt.	Jogging/img/0001.jpg
jogging_2	all parts of the person in the white shirt.	Jogging/img/0001.jpg
coupon	the coupon.	Coupon/img/0001.jpg
david2	the person's face.	David2/img/0001.jpg
tiger2	the toy tiger's head.	Tiger2/img/0001.jpg
dancer	all parts of the dancer, from the top of their head to their knees.	Dancer/img/0001.jpg
dudek	the person's head.	Dudek/img/0001.jpg
toy	the body and head (no ears or arms) of the toy.	Toy/img/0001.jpg
skater2	all parts of the ice skater, excluding the straight leg.	Skater2/img/0001.jpg
dragonBaby	the baby's head.	DragonBaby/img/0001.jpg
mountainBike	the bicycle and its rider.	MountainBike/img/0001.jpg
liquor	the bottle.	Liquor/img/0001.jpg
coke	the can of diet coke.	Coke/img/0001.jpg
freeman4	the head of the person standing up.	Freeman4/img/0001.jpg
couple	all parts of the two people crossing the street together, except the back foot.	Couple/img/0001.jpg
mhyang	the person's face.	Mhyang/img/0001.jpg
girl2	all parts of the person in pink pants.	Girl2/img/0001.jpg
walking2	all parts of the person in light pants, except their arms.	Walking2/img/0001.jpg
trans	the robot.	Trans/img/0001.jpg
dog1	the head of the dog toy.	Dog1/img/0001.jpg
deer	the head of the deer, from the base of its ear to the tip of its nose.	Deer/img/0001.jpg
singer2	the singer, from the top of their head to the end of their jacket.	Singer2/img/0001.jpg
singer1	all parts of the singer in the white dress.	Singer1/img/0001.jpg
redTeam	the red vehicle.	RedTeam/img/0001.jpg
skater	all parts of the figure skater, except their arms and feet.	Skater/img/0001.jpg
blurBody	all parts of the person, except the arm closer to the trash cans.	BlurBody/img/0001.jpg
twinnings	the box of tea.	Twinnings/img/0001.jpg
rubik	the rubik's cube.	Rubik/img/0001.jpg
gym	all parts of the gymnast, except their arms.	Gym/img/0001.jpg
football	the helmet of the player holding the ball.	Football/img/0001.jpg
carScale	the vehicle.	CarScale/img/0001.jpg
motorRolling	the motorcycle and its rider.	MotorRolling/img/0001.jpg
human4_2	all parts of the pedestrian in blue pants.	Human4/img/0001.jpg
jumping	the person's face.	Jumping/img/0001.jpg
ironman	the head of the red superhero.	Ironman/img/0001.jpg
man	the person's head.	Man/img/0001.jpg
blurFace	the person's face.	BlurFace/img/0001.jpg
dog	the body (not head, legs, or tail) of the dog.	Dog/img/0001.jpg
carDark	the car with its brake lights on.	CarDark/img/0001.jpg
trellis	the person's head.	Trellis/img/0001.jpg
