AssignmentId	HITId	AssignmentStatus	AutoApprovalTime	AcceptTime	SubmitTime	ApprovalTime	left	top	width	height	label	RandomID
3HHRAGRYXC0Q0FKHZYCP8VJKVY99OF	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598146316.0	1597973505.0	1597973516.0	2020-08-21 09:10:54-04:00	135	31	55	186	jump	0RjS3h5f1qTorcldNmEQncRWkr6L5LW5qHKFqYPxNti1ZclV5O
3TPWUS5F8DW03M0M24DQRFXE4SVWCT	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598208091.0	1598035269.0	1598035291.0	2020-08-22 10:11:43-04:00	135	32	58	188	jump	kPnCS0TsTytX4NF8b7E1pvdVvxiiKLT9gXIe5WFECudlijDQj1
3CPLWGV3MSU8IUK5YJCCT6JF5WK9NW	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598211699.0	1598038882.0	1598038899.0	2020-08-22 10:11:44-04:00	139	32	48	186	jump	Mheb0XEUliVp04dt9LpfixwG87wlbJDTdHDbsyiogBGAgArHEW
39GXDJN2OX9LCUA4VISP3RIH7U18VM	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598216978.0	1598044167.0	1598044178.0	2020-08-22 10:11:44-04:00	139	35	46	179	jump	QEFVerrYMPqKs2CYnBmuaHXMO2aADmD3p07Nh4KrobbbLb9hsX
3Z7VU45IP2CKAEVTXU8D9N85HZ7Z1Z	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598218059.0	1598045249.0	1598045259.0	2020-08-22 10:11:45-04:00	137	32	47	185	jump	vo6OvX3fnj6VzAs642cfG7Yt0AHQAmPJjzj6w6PquIQ1FxXmpu
3Z7VU45IP2CKAEVTXU8D9N85H001ZW	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598223521.0	1598050702.0	1598050721.0	2020-08-22 10:11:45-04:00	135	34	50	185	jump	kC14lgHeuU1zMZOrklVHwxMV3XIOLOt3WIj63VAGd3mNYtmzqX
3F0BG9B9MTIYGA0QQON3WQQGESX7Y9	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598223752.0	1598050930.0	1598050952.0	2020-08-22 10:11:45-04:00	138	35	48	180	jump	iuYx1Y9i2BYcNUBlLPAsKfoZIqxbCopbvewKEV9HzKih59seoS
31HQ4X3T3W50Z9DJVCWOX9KGSSDSLY	3SA4EMRVKYXN21BBO019F1RVRJ3P08	Approved	1598233700.0	1598060884.0	1598060900.0	2020-08-22 10:11:46-04:00	134	34	47	185	jump	cYggUQFXqUxMl7Ih2W9OJJuu6bqUm5kNYeside3KvPiDSfbIXR
34S6N1K2ZZEB90Z3KIKPTVDEJ41HLH	3UZUVSO3QAQG8OTS4R8WJMZ4GF2MEV	Approved	1598125330.0	1597952478.0	1597952530.0	2020-08-21 09:10:55-04:00	347	162	18	66	bolt	cnVoWEbzLW4xS3smduvqbK8KBFtA4LlbfEg7vRj0y2YmMw6nGO
3URFVVM169D0JBMRZIIXKPD2SNLUZS	3UZUVSO3QAQG8OTS4R8WJMZ4GF2MEV	Approved	1598146038.0	1597973182.0	1597973238.0	2020-08-21 09:10:55-04:00	349	164	13	57	bolt	0RjS3h5f1qTorcldNmEQncRWkr6L5LW5qHKFqYPxNti1ZclV5O
39PAAFCODQV4AE2SYG3KUNE4L51TV7	3UZUVSO3QAQG8OTS4R8WJMZ4GF2MEV	Approved	1598209010.0	1598036146.0	1598036210.0	2020-08-22 10:11:46-04:00	330	170	34	55	bolt	Mheb0XEUliVp04dt9LpfixwG87wlbJDTdHDbsyiogBGAgArHEW
3OVHNO1VEAWE29B5DNS8AP9E6WBZDQ	3UZUVSO3QAQG8OTS4R8WJMZ4GF2MEV	Approved	1598218269.0	1598045453.0	1598045469.0	2020-08-22 10:11:47-04:00	338	166	25	55	bolt	vo6OvX3fnj6VzAs642cfG7Yt0AHQAmPJjzj6w6PquIQ1FxXmpu
3F1567XTN00TLRXXEB4TX0EKA8V9Q9	3UZUVSO3QAQG8OTS4R8WJMZ4GF2MEV	Approved	1598222175.0	1598049309.0	1598049375.0	2020-08-22 10:11:47-04:00	331	167	34	55	bolt	kC14lgHeuU1zMZOrklVHwxMV3XIOLOt3WIj63VAGd3mNYtmzqX
32SVAV9L3J4FJ910866XGNWT6Z6A3V	3UZUVSO3QAQG8OTS4R8WJMZ4GF2MEV	Approved	1598223419.0	1598050570.0	1598050619.0	2020-08-22 10:11:47-04:00	282	184	20	40	bolt	iuYx1Y9i2BYcNUBlLPAsKfoZIqxbCopbvewKEV9HzKih59seoS
